,Unnamed: 0,scientificName,taxonKey,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,occurrenceStatus,continent,countryCode,stateProvince,island,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,eventDate,year,month,day,datetime,date,thetao,so,mlotst,uo,vo,chl,phyc,o2
0,25,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,CN,Guangxi,,21.05,109.117,,,,2022-04-21,2022.0,4.0,21.0,2022-04-21 00:00:00+00:00,2022-04-21,29.653404,33.26173,10.463024,0.10600066,-0.033836544,0.4158809,2.467258,222.68826
1,26,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,TW,Taiwan,,23.082754,121.391218,,,975.0,2022-05-20T09:27,2022.0,5.0,20.0,2022-05-20 09:27:00+00:00,2022-05-20,28.309855,33.55128,15.125868,0.6053736,1.0063524,0.3031271,1.938882,204.01666
2,27,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,IN,Tamil Nadu,,13.12512,80.295542,,,299.0,2022-08-21,2022.0,8.0,21.0,2022-08-21 00:00:00+00:00,2022-08-21,29.79535,33.15834,17.431349,0.036713257,0.10654449,,,
3,28,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,JP,Kagoshima,,29.683333,129.516667,,,,2022-08-09,2022.0,8.0,9.0,2022-08-09 00:00:00+00:00,2022-08-09,30.96165,34.126827,11.005076,0.3795021,-0.42462635,0.156874,1.9277079,198.83006
4,215,"Pampus argenteus (Euphrasen, 1788)",2397682,,,,Indeterminate,Adult,PRESENT,ASIA,ID,Jawa Barat,,-7.702888,108.657706,,,,2022-07-17T12:40,2022.0,7.0,17.0,2022-07-17 12:40:00+00:00,2022-07-17,,,,,,,,
5,603,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,IN,Andhra Pradesh,,17.621183,83.207494,,,30716.0,2022-06-25T17:05:38,2022.0,6.0,25.0,2022-06-25 17:05:38+00:00,2022-06-25,27.709883,33.759987,10.476156,0.10351225,0.02615261,0.5497525,2.5549543,200.55484
6,604,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,IN,Andhra Pradesh,,17.783372,83.347422,,,30716.0,2022-06-25T17:10:58,2022.0,6.0,25.0,2022-06-25 17:10:58+00:00,2022-06-25,27.722368,33.68215,10.463024,0.10512322,0.008766866,,,
7,605,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,HK,Islands,,22.200725,113.85483,,,30298.0,2022-07-02,2022.0,7.0,2.0,2022-07-02 00:00:00+00:00,2022-07-02,28.284948,21.002645,14.580249,0.039091606,-0.08165063,7.633082,21.65264,220.49438
8,606,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,ID,Papua Barat,,-2.280179,130.545221,,,31438.0,2022-09-16T09:58,2022.0,9.0,16.0,2022-09-16 09:58:00+00:00,2022-09-16,,,,,,0.17947043,1.5715429,200.92514
9,827,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,MV,,,4.170864,73.512822,,,17164.0,2022-03-17T09:36:20,2022.0,3.0,17.0,2022-03-17 09:36:20+00:00,2022-03-17,,,,,,0.161734,1.7173258,202.3565
10,828,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,MY,Sabah,,4.469981,118.600978,,,20000.0,2022-04-08T10:52,2022.0,4.0,8.0,2022-04-08 10:52:00+00:00,2022-04-08,,,,,,,,
11,829,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,CN,Guangxi,,21.05,109.117,,,,2022-04-21,2022.0,4.0,21.0,2022-04-21 00:00:00+00:00,2022-04-21,29.653404,33.26173,10.463024,0.10600066,-0.033836544,0.4158809,2.467258,222.68826
12,830,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,IN,Andhra Pradesh,,17.696062,83.301117,,,4.0,2022-06-25T17:12,2022.0,6.0,25.0,2022-06-25 17:12:00+00:00,2022-06-25,27.652796,33.640854,10.463022,0.11802707,0.040465873,,,
13,831,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,PH,Camarines Sur,,13.678836,123.683576,,,977.0,2022-07-04T08:54,2022.0,7.0,4.0,2022-07-04 08:54:00+00:00,2022-07-04,30.277176,34.158154,17.35408,-0.035932567,-0.019012498,,,
14,832,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,Indeterminate,Adult,PRESENT,ASIA,MY,Sabah,,4.244651,117.891186,,,20000.0,2022-07-31T08:33,2022.0,7.0,31.0,2022-07-31 08:33:00+00:00,2022-07-31,30.70873,28.639467,11.174697,0.07159389,-0.00055649324,,,
15,833,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,IN,Tamil Nadu,,13.12512,80.295542,,,299.0,2022-08-21T06:44:20,2022.0,8.0,21.0,2022-08-21 06:44:20+00:00,2022-08-21,29.79535,33.15834,17.431349,0.036713257,0.10654449,,,
16,834,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,PH,Negros Oriental,,9.304995,123.306092,,,8.0,2022-09-25T13:48:20,2022.0,9.0,25.0,2022-09-25 13:48:20+00:00,2022-09-25,30.259438,33.676193,9.867889,0.16717955,-0.11703773,,,
17,835,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,ID,,,2.14839,118.54718,,,,2022-09-21,2022.0,9.0,21.0,2022-09-21 00:00:00+00:00,2022-09-21,30.089811,33.785053,11.419535,0.13582486,-0.8661343,0.19748719,1.8389422,202.63893
18,836,"Thunnus albacares (Bonnaterre, 1788)",2374013,,,,,,PRESENT,ASIA,ID,Nusa Tenggara Timur,,-8.500432,121.782242,,,15.0,2022-12-19T12:08,2022.0,12.0,19.0,2022-12-19 12:08:00+00:00,2022-12-19,29.888605,34.011684,10.482969,0.13628784,-0.027492521,0.13835941,1.9138355,202.78073
19,1015,"Trichiurus lepturus Linnaeus, 1758",2389407,,,,,,PRESENT,ASIA,SG,East,,1.305245,103.942017,,,4.0,2022-02-26T22:45:34,2022.0,2.0,26.0,2022-02-26 22:45:34+00:00,2022-02-26,,,,,,0.47929826,2.8444493,205.00063
20,1016,"Trichiurus lepturus Linnaeus, 1758",2389407,1.0,,,,,PRESENT,ASIA,TW,,,23.1346,120.0717,,,110.0,2022-02-01,2022.0,2.0,1.0,2022-02-01 00:00:00+00:00,2022-02-01,,,,,,1.5357363,7.2663507,227.8341
21,1017,"Trichiurus lepturus Linnaeus, 1758",2389407,,,,,,PRESENT,ASIA,KR,Gyeongsangnam-do,,34.789043,128.389544,,,,2022-08-14T20:20:29,2022.0,8.0,14.0,2022-08-14 20:20:29+00:00,2022-08-14,25.329023,31.884298,10.458954,0.3005831,-0.09125275,0.7967585,5.2215085,224.37347
22,19,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,CN,Zhejiang,,28.407316,121.655715,,,89.0,2023-01-14T15:36,2023.0,1.0,14.0,2023-01-14 15:36:00+00:00,2023-01-14,10.87198,23.46281,6.928922,-0.015665505,-0.24080117,1.9722881,8.895577,299.07663
23,20,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,Adult,PRESENT,ASIA,LK,Matara,,5.936804,80.565383,,,31368.0,2023-03-02T11:08,2023.0,3.0,2.0,2023-03-02 11:08:00+00:00,2023-03-02,27.986006,33.21396,15.227212,-0.11811938,-0.19758357,,,
24,21,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Nusa Tenggara Timur,,-8.555287,119.431291,,,31279.0,2023-08-05T16:53,2023.0,8.0,5.0,2023-08-05 16:53:00+00:00,2023-08-05,27.556887,33.855686,19.825012,-0.040167984,0.056791358,,,
25,22,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Matara,,5.885442,80.566516,,,31368.0,2023-11-13T10:19,2023.0,11.0,13.0,2023-11-13 10:19:00+00:00,2023-11-13,29.295551,33.401672,17.47797,-0.3546916,-0.09931444,,,
26,23,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,PH,Maguindanao,,7.099752,124.022381,,,3733.0,2023-11-24T12:10:37,2023.0,11.0,24.0,2023-11-24 12:10:37+00:00,2023-11-24,29.782457,32.41712,10.463024,-0.17536657,-0.038952187,,,
27,24,"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,TW,Taiwan,,23.098756,121.380387,,,15.0,2023-12-29T13:54:18,2023.0,12.0,29.0,2023-12-29 13:54:18+00:00,2023-12-29,25.68382,34.39301,50.468685,0.26889303,0.8212925,0.3965603,1.6362774,207.27107
28,212,"Pampus argenteus (Euphrasen, 1788)",2397682,,9.0,DNA Sequence reads,,,PRESENT,ASIA,BD,,,21.756639,89.222982,,,,2023-01-09,2023.0,1.0,9.0,2023-01-09 00:00:00+00:00,2023-01-09,,,,,,,,
29,213,"Pampus argenteus (Euphrasen, 1788)",2397682,,,,,Adult,PRESENT,ASIA,TH,Nonthaburi,,13.878297,100.406614,,,,2023-04-21T10:42:17,2023.0,4.0,21.0,2023-04-21 10:42:17+00:00,2023-04-21,,,,,,,,
30,214,"Pampus argenteus (Euphrasen, 1788)",2397682,,,,,,PRESENT,ASIA,CN,Shandong,,36.056671,120.369789,,,,2023-10-23T08:30:59,2023.0,10.0,23.0,2023-10-23 08:30:59+00:00,2023-10-23,20.640862,27.187737,12.946822,0.041256238,0.014020503,1.9146271,8.821898,237.1011
31,588,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,Adult,PRESENT,ASIA,TH,Rayong,,12.914409,101.45656,,,31057.0,2023-04-23T15:39:43,2023.0,4.0,23.0,2023-04-23 15:39:43+00:00,2023-04-23,,,,,,,,
32,589,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,TR,Mugla,,36.743306,29.040908,,,28505.0,2023-04-16T15:36:16,2023.0,4.0,16.0,2023-04-16 15:36:16+00:00,2023-04-16,,,,,,0.46399164,3.3004045,236.82251
33,590,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,TH,Rayong,,12.948668,101.571174,,,31057.0,2023-05-09T08:10:07,2023.0,5.0,9.0,2023-05-09 08:10:07+00:00,2023-05-09,,,,,,,,
34,591,"Scomberomorus commerson (Lacepède, 1800)",2374255,,,,,,PRESENT,ASIA,KR,Jeju-do,,33.236194,126.559472,,,,2023-06-17,2023.0,6.0,17.0,2023-06-17 00:00:00+00:00,2023-06-17,,,,,,,,
