scientificName,taxonKey,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,occurrenceStatus,continent,countryCode,stateProvince,island,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,eventDate,year,month,day,lon_norm,lat_norm,sea_surface_temperature,mixed_layer_depth,zonal_current,meridional_current
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,Adult,PRESENT,ASIA,PH,Camarines Sur,,13.710148,123.597992,,,122.0,,2024.0,2.0,9.0,123.597992,13.710148,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,PH,Oriental Mindoro,,13.4999,120.955795,,,9.0,2024-04-25 13:32:30,2024.0,4.0,25.0,120.955795,13.4999,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,IN,Lakshadweep,,10.558459,72.632411,,,2385.0,,2024.0,4.0,20.0,72.632411,10.558459,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,VN,Quảng Ngãi,,15.379307,109.095116,,,,,2024.0,8.0,30.0,109.095116,15.379307,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,VN,Quảng Ngãi,,15.379371,109.095413,,,,,2024.0,8.0,23.0,109.095413,15.379371,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,PH,Camarines Sur,,13.691023,123.674362,,,31.0,,2024.0,10.0,27.0,123.674362,13.691023,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,AE,Dubay,,25.026684,55.082694,,,6697.0,2024-10-06 11:24:21,2024.0,10.0,6.0,55.082694,25.026684,,,,
"Katsuwonus pelamis (Linnaeus, 1758)",2374191.0,,,,,,PRESENT,ASIA,ID,Sulawesi Tengah,,-1.392706,120.737869,,,1903.0,,2024.0,12.0,28.0,120.737869,-1.392706,,,,
"Pampus argenteus (Euphrasen, 1788)",2397682.0,,,,,Adult,PRESENT,ASIA,TH,Chanthaburi,,12.619717,102.094189,,,,2024-07-01 16:33:04,2024.0,7.0,1.0,102.094189,12.619717,,,,
"Pampus cinereus (Bloch, 1795)",2397674.0,,,,,,PRESENT,ASIA,ID,Jawa Barat,,-7.713099,108.500387,,,22.0,2024-11-17 07:55:52,2024.0,11.0,17.0,108.500387,-7.713099,,,,
"Scomberomorus commerson (Lacepède, 1800)",2374255.0,,,,,,PRESENT,ASIA,IN,Kerala,,8.987037,76.522063,,,31262.0,2024-01-05 15:34:22,2024.0,1.0,5.0,76.522063,8.987037,,,,
"Scomberomorus commerson (Lacepède, 1800)",2374255.0,,,,,,PRESENT,ASIA,KH,Kaôh Kong,,10.720888,103.205539,,,31179.0,2024-01-09 10:21:05,2024.0,1.0,9.0,103.205539,10.720888,,,,
