scientificName,taxonKey,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,occurrenceStatus,continent,countryCode,stateProvince,island,decimalLatitude,decimalLongitude,elevation,elevationAccuracy,coordinateUncertaintyInMeters,eventDate,year,month,day
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,TW,Taiwan,,25.128225,121.740675,,,,2026-01-01T02:53:13,2026.0,1.0,1.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,MV,,,4.179925,73.509617,,,,2025-02-09T20:06:43,2025.0,2.0,9.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Gampaha,,7.210245,79.831384,,,183.0,2025-02-22T05:41:15,2025.0,2.0,22.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,PH,Batangas,,13.7108,120.897259,,,985.0,2025-03-02T15:15,2025.0,3.0,2.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Galle,,6.033374,80.217667,,,,2025-04-21T07:06,2025.0,4.0,21.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Matara,,5.971575,80.426917,,,4.0,2025-04-20T16:50,2025.0,4.0,20.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,IN,Karnataka,,13.346714,74.701211,,,,2025-05-08T06:30:23,2025.0,5.0,8.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Sulawesi Utara,,1.513511,124.890417,,,,2025-06-25T18:24:35,2025.0,6.0,25.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,1.0,,,,,PRESENT,ASIA,VN,Phú Yên,,13.088,109.309,,,,2025-08-24,2025.0,8.0,24.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,1.0,,,,,PRESENT,ASIA,VN,Phú Yên,,13.088,109.309,,,,2025-08-24,2025.0,8.0,24.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Bali,,-8.356305,115.715422,,,4.0,2025-12-12T07:37:01,2025.0,12.0,12.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,Adult,PRESENT,ASIA,PH,Camarines Sur,,13.710148,123.597992,,,122.0,2024-02-09T06:39,2024.0,2.0,9.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,PH,Oriental Mindoro,,13.4999,120.955795,,,9.0,2024-04-25T13:32:30,2024.0,4.0,25.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,IN,Lakshadweep,,10.558459,72.632411,,,2385.0,2024-04-20T19:09,2024.0,4.0,20.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,VN,Quảng Ngãi,,15.379307,109.095116,,,,2024-08-30T05:50,2024.0,8.0,30.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,VN,Quảng Ngãi,,15.379371,109.095413,,,,2024-08-23T06:54,2024.0,8.0,23.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,PH,Camarines Sur,,13.691023,123.674362,,,31.0,2024-10-27T19:03,2024.0,10.0,27.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,AE,Dubay,,25.026684,55.082694,,,6697.0,2024-10-06T11:24:21,2024.0,10.0,6.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Sulawesi Tengah,,-1.392706,120.737869,,,1903.0,2024-12-28T13:20,2024.0,12.0,28.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,CN,Zhejiang,,28.407316,121.655715,,,89.0,2023-01-14T15:36,2023.0,1.0,14.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,Adult,PRESENT,ASIA,LK,Matara,,5.936804,80.565383,,,31368.0,2023-03-02T11:08,2023.0,3.0,2.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Nusa Tenggara Timur,,-8.555287,119.431291,,,31279.0,2023-08-05T16:53,2023.0,8.0,5.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Matara,,5.885442,80.566516,,,31368.0,2023-11-13T10:19,2023.0,11.0,13.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,PH,Maguindanao,,7.099752,124.022381,,,3733.0,2023-11-24T12:10:37,2023.0,11.0,24.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,TW,Taiwan,,23.098756,121.380387,,,15.0,2023-12-29T13:54:18,2023.0,12.0,29.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,CN,Guangxi,,21.05,109.117,,,,2022-04-21,2022.0,4.0,21.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,TW,Taiwan,,23.082754,121.391218,,,975.0,2022-05-20T09:27,2022.0,5.0,20.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,IN,Tamil Nadu,,13.12512,80.295542,,,299.0,2022-08-21,2022.0,8.0,21.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,JP,Kagoshima,,29.683333,129.516667,,,,2022-08-09,2022.0,8.0,9.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,IN,,,10.56,72.64,,,,2021-04-11,2021.0,4.0,11.0
BOLD:AAA5421,9877823,,,,,,PRESENT,ASIA,IN,,,10.5593,72.6358,,,,2021-04-11,2021.0,4.0,11.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,ID,Lampung,,-5.318201,105.198376,,,205.0,2021-05-12,2021.0,5.0,12.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,MV,,,4.179908,73.5097,,,47.0,2021-06-11T08:18:42,2021.0,6.0,11.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,LK,Gampaha,,7.203172,79.829033,,,19.0,2021-07-05T05:18:25,2021.0,7.0,5.0
"Katsuwonus pelamis (Linnaeus, 1758)",2374191,,,,,,PRESENT,ASIA,MV,,,3.48326,72.8028,0.0,0.0,100.0,2021-10-11T09:23Z,2021.0,10.0,11.0
