fish_type,genus,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,source
Ca Trich,Clupea,-9.4461709,46.2109879,2023-04-24T04:55:32Z,1.0,obis
Ca Trich,Clupea,8.8481,119.932083,2023-04-14,1.0,obis
Ca Trich,Clupea,8.804517,119.825967,2023-04-15,1.0,obis
Ca Trich,Clupea,-9.3695186,46.450737,2023-03-27T05:23:53Z,1.0,obis
Ca Trich,Clupea,21.7565804,89.2230583,2023-01-08,1.0,obis
Ca Trich,Clupea,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Trich,Clupea,8.671417,119.82565,2023-04-15,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,-9.400901,46.206047,2023-04-02T10:43:31Z,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,8.77905,119.816383,2023-04-15,1.0,obis
Ca Trich,Clupea,21.7565804,89.2230583,2023-01-08,1.0,obis
Ca Trich,Clupea,21.7549458,89.2837655,2023-01-09,1.0,obis
Ca Trich,Clupea,-9.42518,46.2253634,2023-04-24T06:49:41Z,1.0,obis
Ca Trich,Clupea,21.703926,89.2610127,2023-01-09,1.0,obis
Ca Trich,Clupea,8.8481,119.932083,2023-04-14,1.0,obis
Ca Trich,Clupea,8.671417,119.82565,2023-04-15,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,8.804517,119.825967,2023-04-15,1.0,obis
Ca Trich,Clupea,-9.4461709,46.2109879,2023-04-24T04:55:32Z,1.0,obis
Ca Trich,Clupea,21.7565804,89.2230174,2023-01-08,1.0,obis
Ca Trich,Clupea,21.7565804,89.2230174,2023-01-08,1.0,obis
Ca Trich,Clupea,12.672825,54.197331,2023-07-03,1.0,obis
Ca Trich,Clupea,-9.4461709,46.2109879,2023-04-24T04:55:32Z,1.0,obis
Ca Trich,Clupea,37.15689722,129.6939667,2023-10-07,1.0,obis
Ca Trich,Clupea,21.703926,89.2610127,2023-01-09,1.0,obis
Ca Trich,Clupea,-9.42518,46.2253634,2023-04-24T06:47:10Z,1.0,obis
Ca Trich,Clupea,8.8481,119.932083,2023-04-14,1.0,obis
Ca Trich,Clupea,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Trich,Clupea,12.602461,54.346147,2023-07-03,1.0,obis
Ca Trich,Clupea,8.8481,119.932083,2023-04-14,1.0,obis
Ca Trich,Clupea,36.40988333,129.8276167,2024-09-05,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,-9.4011713,46.2057637,2023-04-23,1.0,obis
Ca Trich,Clupea,-9.4461709,46.2109879,2023-04-24T04:51:48Z,1.0,obis
Ca Trich,Clupea,8.77905,119.816383,2023-04-15,1.0,obis
Ca Trich,Clupea,8.893767,119.90955,2023-04-14,1.0,obis
Ca Trich,Clupea,-9.4011713,46.2057637,2023-04-23,1.0,obis
